倩女幽魂,倩女幽魂(87版)  /  倩女幽魂：妖魔道,1987,8.8,639833,['两张绝世的脸。 '],https://movie.douban.com/subject/1297447/
爱在日落黄昏时,Before Sunset,2004,8.9,460647,['九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。'],https://movie.douban.com/subject/1291990/
侧耳倾听,耳をすませば,1995,8.9,400400,['少女情怀总是诗。'],https://movie.douban.com/subject/1297052/
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,2010,8.9,474584,['曾经的那段美好会沉淀为一辈子的记忆。'],https://movie.douban.com/subject/4202302/
甜蜜蜜,Comrades: Almost a Love Story,1996,8.9,452097,['相逢只要一瞬间，等待却像是一辈子。'],https://movie.douban.com/subject/1305164/
萤火之森,蛍火の杜へ,2011,8.9,453423,['触不到的恋人。'],https://movie.douban.com/subject/5989818/
驯龙高手,How to Train Your Dragon,2010,8.7,660999,['和谐的生活离不开摸头与被摸头。'],https://movie.douban.com/subject/2353023/
幸福终点站,The Terminal,2004,8.8,479076,['有时候幸福需要等一等。 '],https://movie.douban.com/subject/1292274/
玛丽和马克思,Mary and Max,2009,8.9,382555,['你是我最好的朋友，你是我唯一的朋友 。'],https://movie.douban.com/subject/3072124/
时空恋旅人,About Time,2013,8.8,536672,['把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。'],https://movie.douban.com/subject/10577869/
大鱼,Big Fish,2003,8.8,499518,['抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。'],https://movie.douban.com/subject/1291545/
怪兽电力公司,"Monsters, Inc.",2001,8.7,572028,['不要给它起名字，起了名字就有感情了。'],https://movie.douban.com/subject/1291579/
告白,自白  /  母亲,2010,8.8,604887,['没有一人完全善，也没有一人完全恶。'],https://movie.douban.com/subject/4268598/
阳光姐妹淘,써니,2011,8.8,536273,['再多各自牛逼的时光，也比不上一起傻逼的岁月。 '],https://movie.douban.com/subject/4917726/
射雕英雄传之东成西就,射鵰英雄傳之東成西就,1993,8.7,558768,['百看不厌。 '],https://movie.douban.com/subject/1316510/
神偷奶爸,Despicable Me,2010,8.6,837159,"[""Mr. I Don't Care其实也有Care的时候。""]",https://movie.douban.com/subject/3287562/
傲慢与偏见,Pride & Prejudice,2005,8.7,681724,['爱是摈弃傲慢与偏见之后的曙光。'],https://movie.douban.com/subject/1418200/
教父3,The Godfather: Part III,1990,9.0,311434,['任何信念的力量，都无法改变命运。'],https://movie.douban.com/subject/1294240/
玩具总动员3,Toy Story 3,2010,8.9,440355,['跨度十五年的欢乐与泪水。'],https://movie.douban.com/subject/1858711/
釜山行,부산행,2016,8.6,1032098,['揭露人性的丧尸题材力作。'],https://movie.douban.com/subject/25986180/
恐怖直播,더 테러 라이브,2013,8.7,566153,['恐怖分子的“秋菊打官司”。'],https://movie.douban.com/subject/21360417/
一个叫欧维的男人决定去死,En man som heter Ove,2015,8.9,376281,['惠及一生的美丽。'],https://movie.douban.com/subject/26628357/
哪吒闹海,Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,1979,9.1,220798,['想你时你在闹海。'],https://movie.douban.com/subject/1307315/
被解救的姜戈,Django Unchained,2012,8.8,524021,['热血沸腾，那个低俗、性感的无耻混蛋又来了。'],https://movie.douban.com/subject/6307447/
血战钢锯岭,Hacksaw Ridge,2016,8.7,690370,['优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。'],https://movie.douban.com/subject/26325320/
未麻的部屋,Perfect Blue,1997,9.0,261363,['好的剧本是，就算你猜到了结局也猜不到全部。'],https://movie.douban.com/subject/1395091/
头号玩家,Ready Player One,2018,8.7,1195911,['写给影迷，动漫迷和游戏迷的一封情书。'],https://movie.douban.com/subject/4920389/
我是山姆,I Am Sam,2001,9.0,281249,['爱并不需要智商 。'],https://movie.douban.com/subject/1306861/
寄生虫,기생충,2019,8.8,1189770,[],https://movie.douban.com/subject/27010768/
七武士,七人の侍,1954,9.3,167392,['时代悲歌。'],https://movie.douban.com/subject/1295399/
喜宴,囍宴,1993,8.9,298499,['中国家庭的喜怒哀乐忍。'],https://movie.douban.com/subject/1303037/
新世界,신세계,2013,8.9,331717,['要做就做得狠一点，这样才能活下去。'],https://movie.douban.com/subject/10437779/
电锯惊魂,Saw,2004,8.8,454504,['真相就在眼前。'],https://movie.douban.com/subject/1417598/
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,2005,8.7,524802,[],https://movie.douban.com/subject/1309055/
模仿游戏,The Imitation Game,2014,8.7,540537,['他给机器起名“克里斯托弗”，因为这是他初恋的名字。'],https://movie.douban.com/subject/10463953/
黑客帝国3：矩阵革命,The Matrix Revolutions,2003,8.8,382740,['不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。'],https://movie.douban.com/subject/1302467/
花样年华,花樣年華,2000,8.7,508405,['偷情本没有这样美。'],https://movie.douban.com/subject/1291557/
卢旺达饭店,Hotel Rwanda,2004,8.9,278152,['当这个世界闭上双眼，他却敞开了怀抱。'],https://movie.douban.com/subject/1291822/
上帝之城,Cidade de Deus,2002,9.0,267681,['被上帝抛弃了的上帝之城。'],https://movie.douban.com/subject/1292208/
三块广告牌,"Three Billboards Outside Ebbing, Missouri",2017,8.7,719686,['怼天怼地，你走后，她与世界为敌。'],https://movie.douban.com/subject/26611804/
风之谷,風の谷のナウシカ,1984,8.9,318702,['动画片的圣经。'],https://movie.douban.com/subject/1291585/
疯狂原始人,The Croods,2013,8.7,745163,['老少皆宜，这就是好莱坞动画的魅力。'],https://movie.douban.com/subject/1907966/
你的名字。,君の名は。,2016,8.5,1204610,['穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。'],https://movie.douban.com/subject/26683290/
谍影重重3,The Bourne Ultimatum,2007,8.8,368836,['像吃了苏打饼一样干脆的电影。'],https://movie.douban.com/subject/1578507/
英雄本色,A Better Tomorrow  /  Gangland Boss,1986,8.6,456401,['英雄泪短，兄弟情长。 '],https://movie.douban.com/subject/1297574/
头脑特工队,Inside Out,2015,8.7,517759,['愿我们都不用长大，每一座城堡都能永远存在。'],https://movie.douban.com/subject/10533913/
达拉斯买家俱乐部,Dallas Buyers Club,2013,8.8,391741,['Jared Leto的腿比女人还美！'],https://movie.douban.com/subject/1793929/
纵横四海,緃横四海,1991,8.8,360008,['香港浪漫主义警匪动作片的巅峰之作。'],https://movie.douban.com/subject/1295409/
心迷宫,殡棺  /  The Coffin in the Mountain,2014,8.7,436818,['荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。'],https://movie.douban.com/subject/25917973/
岁月神偷,歲月神偷,2010,8.7,522088,['岁月流逝，来日可追。'],https://movie.douban.com/subject/3792799/
记忆碎片,Memento,2000,8.7,532922,['一个针管引发的血案。'],https://movie.douban.com/subject/1304447/
惊魂记,Psycho,1960,9.0,230389,['故事的反转与反转，分裂电影的始祖。'],https://movie.douban.com/subject/1293181/
忠犬八公物语,ハチ公物語,1987,9.2,166805,['养狗三日，便会对你终其一生。'],https://movie.douban.com/subject/1959195/
海街日记,海街diary,2015,8.8,374605,['是枝裕和的家庭习作。'],https://movie.douban.com/subject/25895901/
荒蛮故事,Relatos salvajes,2014,8.8,379918,['始于荒诞，止于更荒诞。'],https://movie.douban.com/subject/24750126/
九品芝麻官,九品芝麻官之白面包青天  /  Hail the Judge,1994,8.6,546910,[],https://movie.douban.com/subject/1297518/
爆裂鼓手,Whiplash,2014,8.7,495429,['这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。'],https://movie.douban.com/subject/25773932/
