橙子,重庆 ,￥2.00每斤,2022-01-09
砂糖橘,邯郸市 ,￥260.00每吨,2022-01-09
其他,内江市 ,￥1.90每斤,2022-04-04
枇杷,福州市 ,￥198.00每箱,2022-04-04
甜瓜,聊城市 ,￥4.00每斤,2022-04-04
香蕉,北京 ,￥6.00每斤,2022-04-04
李子,茂名市 ,￥18.00每斤,2022-04-04
枇杷,雅安市 ,￥12.00每斤,2022-04-03
西瓜,潍坊市 ,￥1.00每斤,2022-04-03
草莓,青岛市 ,￥8.00每斤,2022-04-03
其他,青岛市 ,￥55.00每斤,2022-04-03
樱桃,烟台市 ,￥50.00每斤,2022-04-02
油桃,辽宁 ,￥1.00每斤,2022-04-02
椰子,国外进口 ,￥18.00每件,2022-04-02
其他,国外进口 ,￥680.00每箱,2022-04-01
甜瓜,安阳市 ,￥1.50每斤,2022-04-01
葡萄,青岛市 ,￥25.00每斤,2022-04-01
其他,漳州市 ,￥2.00每斤,2022-04-01
哈密瓜,聊城市 ,￥1.00每斤,2022-04-01
甜瓜,聊城市 ,￥2.00每斤,2022-04-01
柿子,聊城市 ,￥3.00每斤,2022-03-31
李子,玉溪市 ,￥10.00每斤,2022-03-30
红提,咸阳市 ,￥188.00每箱,2022-03-30
油桃,秦皇岛市 ,￥4.00每斤,2022-03-30
樱桃,运城市 ,￥35.00每斤,2022-03-30
樱桃,大连市 ,￥47.00每斤,2022-03-30
橙子,宁波市 ,￥10.00每斤,2021-12-28
砂糖橘,南宁市 ,￥1.20每斤,2021-12-28
橙子,重庆 ,￥58.00每箱,2021-12-27
草莓,临汾市 ,￥15.00每斤,2021-12-27
橙子,黔西南布依族苗族自治州 ,￥8.00每斤,2021-12-27
包装,中山市 ,￥0.50每个,2021-12-27
草莓,保定市 ,￥30.00每斤,2021-12-27
砂糖橘,南宁市 ,￥2.50每斤,2021-12-27
草莓,保定市 ,￥30.00每斤,2021-12-26
桔子,广安市 ,￥0.60每斤,2021-12-26
柚子,湘西土家族苗族自治州 ,￥1.80每斤,2021-12-26
橙子,宁波市 ,￥120.00每箱,2021-12-26
砂糖橘,来宾市 ,￥1.10每斤,2021-12-26
其他,运城市 ,￥18.00每棵,2021-12-25
砂糖橘,桂林市 ,￥2.80每斤,2021-12-25
柿子,运城市 ,￥1.00每棵,2021-12-25
桑葚,红河哈尼族彝族自治州 ,￥30.00每斤,2021-12-24
其他,运城市 ,￥28.00每棵,2021-12-23
葡萄,烟台市 ,￥15.00每斤,2021-12-23
其他,运城市 ,￥38.00每棵,2021-12-23
桔子,河池市 ,￥3.50每斤,2021-12-22
菠萝,澄迈县 ,￥0.10每斤,2021-12-22
其他,晋中市 ,￥1.00每棵,2021-12-22
桔子,玉林市 ,￥5.00每斤,2021-12-21
橙子,赣州市 ,￥3.00每斤,2021-11-22
其他,玉林市 ,￥6.00每斤,2021-11-22
其他,南宁市 ,￥3.00每斤,2021-11-22
其他,玉林市 ,￥5.00每棵,2021-11-22
橙子,赣州市 ,￥3.00每斤,2021-11-22
其他,玉林市 ,￥8.00每斤,2021-11-22
其他,运城市 ,￥1.00每棵,2021-11-22
橙子,湛江市 ,￥5.00每斤,2021-11-21
龙眼,玉林市 ,￥13.00每棵,2021-11-21
其他,玉林市 ,￥6.00每棵,2021-11-21
橙子,湛江市 ,￥88.00每箱,2021-11-21
苹果,运城市 ,￥2.00每斤,2021-11-21
橙子,赣州市 ,￥0.60每斤,2021-11-21
榴梿,国外进口 ,￥25.00每箱,2021-11-21
其他,玉林市 ,￥3.00每棵,2021-11-21
其他,玉林市 ,￥5.00每棵,2021-11-21
葡萄,渭南市 ,￥10.00每斤,2021-11-21
其他,玉林市 ,￥10.00每棵,2021-11-21
草莓,徐州市 ,￥7.00每斤,2021-11-21
大桃,玉林市 ,￥7.00每斤,2021-11-20
其他,玉林市 ,￥6.00每斤,2021-11-20
苹果,咸阳市 ,￥2.00每斤,2021-11-20
荔枝,玉林市 ,￥6.00每斤,2021-11-20
柚子,重庆 ,￥9.00每个,2021-11-20
橙子,凉山彝族自治州 ,￥7.00每斤,2021-11-19
其他,玉林市 ,￥6.00每斤,2021-11-19
其他,玉林市 ,￥7.00每斤,2021-11-19
弥猴桃,玉林市 ,￥6.00每斤,2021-11-19
其他,玉林市 ,￥10.00每斤,2021-11-19
西瓜,喀什地区 ,￥1.50每斤,2021-11-19
其他,玉林市 ,￥38.00每斤,2021-11-19
橙子,凉山彝族自治州 ,￥7.00每斤,2021-11-18
其他,玉林市 ,￥5.00每棵,2021-11-18
其他,运城市 ,￥28.00每棵,2021-11-18
桔子,玉林市 ,￥5.00每斤,2021-11-18
橙子,赣州市 ,￥2.70每斤,2021-11-18
其他,玉林市 ,￥6.00每棵,2021-11-18
红提,渭南市 ,￥8.00每斤,2021-11-18
其他,玉林市 ,￥10.00每斤,2021-11-18
橙子,赣州市 ,￥68.00每件,2021-11-18
其他,玉林市 ,￥3.00每棵,2021-11-18
柚子,梅州市 ,￥4.00每斤,2021-11-18
其他,运城市 ,￥10.00每棵,2021-11-18
橙子,邵阳市 ,￥1.50每斤,2021-11-17
其他,玉林市 ,￥20.00每棵,2021-11-17
柚子,梅州市 ,￥3.00每斤,2021-11-17
其他,运城市 ,￥18.00每棵,2021-11-17
橙子,赣州市 ,￥3.00每斤,2021-11-17
甜瓜,聊城市 ,￥4.00每斤,2022-02-28
橙子,成都市 ,￥2.30每斤,2022-02-27
李子,云浮市 ,￥2.00每斤,2022-02-27
人参果,武威市 ,￥90.00每箱,2022-02-27
甜瓜,聊城市 ,￥6.00每斤,2022-02-26
其他,南宁市 ,￥3.00每斤,2022-02-26
其他,保定市 ,￥1.00每棵,2022-02-26
其他,赣州市 ,￥0.70每个,2022-02-25
樱桃,潍坊市 ,￥45.00每斤,2022-02-25
其他,运城市 ,￥15.00每棵,2022-02-24
桔子,自贡市 ,￥2.50每斤,2022-02-24
红提,上海 ,￥1.00每斤,2022-02-24
枇杷,南宁市 ,￥15.00每斤,2022-02-23
苹果,聊城市 ,￥1.20每斤,2022-02-23
其他,广安市 ,￥2.20每斤,2022-02-23
芦柑,德宏傣族景颇族自治州 ,￥2.50每斤,2022-02-23
其他,运城市 ,￥10.00每棵,2022-02-23
红富士苹果,烟台市 ,￥4.00每斤,2022-02-23
芦柑,漳州市 ,￥4.50每斤,2022-02-22
桔子,梧州市 ,￥126.00每箱,2022-02-22
红富士苹果,渭南市 ,￥0.55每斤,2022-02-22
包装,白山市 ,￥50.00每棵,2022-02-22
核桃,运城市 ,￥1.00每棵,2022-02-22
甜瓜,潍坊市 ,￥4.50每斤,2022-02-22
红富士苹果,天水市 ,￥4.50每斤,2022-01-07
橙子,宜昌市 ,￥55.00每箱,2022-01-07
芒果,陵水黎族自治县 ,￥10000.00每吨,2022-01-07
桔子,南宁市 ,￥2.50每斤,2022-01-07
桔子,眉山市 ,￥4.50每斤,2022-01-07
苹果,石家庄市 ,￥1.20每斤,2022-01-06
桔子,南宁市 ,￥2.60每斤,2022-01-06
其他,重庆 ,￥2.00每斤,2022-01-06
其他,白山市 ,￥8000.00每吨,2022-01-05
西瓜,潍坊市 ,￥0.00每斤,2022-01-05
樱桃,潍坊市 ,￥20.00每吨,2022-01-05
桔子,眉山市 ,￥1.56每斤,2022-01-05
椪柑,湘西土家族苗族自治州 ,￥1.00每斤,2022-01-04
桔子,南宁市 ,￥2.80每斤,2022-01-04
桔子,南宁市 ,￥2.60每斤,2022-01-04
其他,肇庆市 ,￥1.30每斤,2022-01-03
芦柑,漳州市 ,￥2.00每斤,2022-01-03
桔子,韶关市 ,￥1.68每斤,2022-01-02
草莓,潍坊市 ,￥16.00每斤,2022-01-02
桔子,南宁市 ,￥3.00每斤,2022-01-02
桔子,漳州市 ,￥2.00每斤,2022-01-02
橙子,黔东南苗族侗族自治州 ,￥2.80每斤,2022-01-01
砂糖橘,南宁市 ,￥2.45每斤,2021-12-31
桔子,眉山市 ,￥1.60每斤,2021-12-30
